elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,point_vector
0,1,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2,95,2,2,2,2
38,1,1,2,0,0,0,0,0,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118,1,1,2,1
61,1,1,3,0,0,0,0,15,15,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120,1,2,1,2
91,1,1,4,0,0,0,0,15,30,1,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130,3,1,1,1
141,1,1,5,0,0,0,0,30,30,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112,5,2,0,1
170,1,1,6,0,0,0,0,40,30,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97,3,2,2,2
213,1,1,7,0,0,0,0,40,40,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109,5,1,1,1
241,1,1,8,0,0,0,0,41,40,1,2,4,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105,1,2,2,2
288,1,1,9,0,0,0,0,40,40,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128,2,1,1,1
332,1,1,10,0,0,0,0,41,40,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110,1,2,2,1
425,1,2,11,0,0,1,0,0,0,2,1,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112,5,1,1,2
448,1,2,12,0,0,1,0,0,15,2,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130,5,2,1,1
486,1,2,13,0,0,1,0,15,15,2,1,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120,4,2,1,1
521,1,2,14,0,0,1,0,30,15,2,1,8,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128,5,2,2,2
551,1,2,15,0,0,1,0,30,30,2,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130,4,2,2,2
